image_path,linear_x,angular_z,timestamp
images/img_626480000000.jpg,0.92,-0.0,626480000000
images/img_626582000000.jpg,1.0,-0.0,626582000000
images/img_626682000000.jpg,0.97,-0.0,626682000000
images/img_626784000000.jpg,0.97,-0.0,626784000000
images/img_626884000000.jpg,0.95,-0.0,626884000000
images/img_626986000000.jpg,0.94,-0.0,626986000000
images/img_627090000000.jpg,0.93,-0.0,627090000000
images/img_627190000000.jpg,0.93,-0.0,627190000000
images/img_627290000000.jpg,0.91,-0.0,627290000000
images/img_627394000000.jpg,0.88,-0.25,627394000000
images/img_627522000000.jpg,0.86,-0.75,627522000000
images/img_627628000000.jpg,0.85,-1.15,627628000000
images/img_627728000000.jpg,0.9,-1.47,627728000000
images/img_627830000000.jpg,1.02,-1.54,627830000000
images/img_627928000000.jpg,1.1,-1.54,627928000000
images/img_628030000000.jpg,1.15,-1.61,628030000000
images/img_628130000000.jpg,1.15,-1.72,628130000000
images/img_628262000000.jpg,1.11,-1.94,628262000000
images/img_628362000000.jpg,1.1,-2.12,628362000000
images/img_628462000000.jpg,1.11,-2.2,628462000000
images/img_628594000000.jpg,1.17,-2.44,628594000000
images/img_628696000000.jpg,1.19,-2.69,628696000000
images/img_628796000000.jpg,1.23,-2.73,628796000000
images/img_628928000000.jpg,1.24,-2.22,628928000000
images/img_629060000000.jpg,1.25,-1.12,629060000000
images/img_629160000000.jpg,1.25,-0.42,629160000000
images/img_629262000000.jpg,1.25,-0.0,629262000000
images/img_629362000000.jpg,1.25,-0.0,629362000000
images/img_629498000000.jpg,1.22,-0.0,629498000000
images/img_629596000000.jpg,1.22,-0.0,629596000000
images/img_629726000000.jpg,1.23,0.35,629726000000
images/img_629826000000.jpg,1.21,0.72,629826000000
images/img_629928000000.jpg,1.21,0.92,629928000000
images/img_630062000000.jpg,1.2,1.22,630062000000
images/img_630162000000.jpg,1.2,1.59,630162000000
images/img_630262000000.jpg,1.18,1.99,630262000000
images/img_630362000000.jpg,1.16,2.23,630362000000
images/img_630494000000.jpg,1.16,2.24,630494000000
images/img_630598000000.jpg,1.13,2.18,630598000000
images/img_630696000000.jpg,1.12,1.74,630696000000
images/img_630828000000.jpg,1.25,0.91,630828000000
images/img_630928000000.jpg,1.25,0.72,630928000000
images/img_631028000000.jpg,1.25,0.91,631028000000
images/img_631128000000.jpg,1.25,1.12,631128000000
images/img_631260000000.jpg,1.22,1.48,631260000000
images/img_631362000000.jpg,1.22,1.53,631362000000
images/img_631494000000.jpg,1.22,1.5,631494000000
images/img_631600000000.jpg,1.22,1.51,631600000000
images/img_631700000000.jpg,1.22,1.55,631700000000
images/img_631832000000.jpg,1.2,1.67,631832000000
images/img_631934000000.jpg,1.17,1.67,631934000000
images/img_632038000000.jpg,1.16,1.55,632038000000
images/img_632140000000.jpg,1.15,1.13,632140000000
images/img_632272000000.jpg,1.14,0.36,632272000000
images/img_632376000000.jpg,1.14,-0.0,632376000000
images/img_632480000000.jpg,1.14,-0.0,632480000000
images/img_632614000000.jpg,1.14,-0.0,632614000000
images/img_632714000000.jpg,1.14,-0.0,632714000000
images/img_632814000000.jpg,1.16,-0.0,632814000000
images/img_632916000000.jpg,1.16,-0.0,632916000000
images/img_633016000000.jpg,1.15,-0.0,633016000000
images/img_633116000000.jpg,1.14,-0.0,633116000000
images/img_633224000000.jpg,1.14,-0.0,633224000000
images/img_633328000000.jpg,1.14,-0.0,633328000000
images/img_633460000000.jpg,1.14,-0.0,633460000000
images/img_633560000000.jpg,1.14,-0.0,633560000000
images/img_633662000000.jpg,1.12,-0.0,633662000000
images/img_633762000000.jpg,1.1,-0.0,633762000000
images/img_633862000000.jpg,1.04,-0.0,633862000000
images/img_633996000000.jpg,0.99,0.23,633996000000
images/img_634096000000.jpg,0.92,0.88,634096000000
images/img_634194000000.jpg,0.73,1.55,634194000000
images/img_634294000000.jpg,0.53,2.18,634294000000
images/img_634396000000.jpg,0.45,2.58,634396000000
images/img_634494000000.jpg,0.47,2.64,634494000000
images/img_634596000000.jpg,0.57,2.57,634596000000
images/img_634704000000.jpg,0.69,2.11,634704000000
images/img_634812000000.jpg,0.8,1.24,634812000000
images/img_634916000000.jpg,0.84,0.48,634916000000
images/img_635022000000.jpg,0.84,-0.0,635022000000
images/img_635120000000.jpg,0.87,-0.0,635120000000
images/img_635228000000.jpg,0.88,-0.0,635228000000
images/img_635334000000.jpg,0.89,-0.0,635334000000
images/img_635440000000.jpg,0.8,-0.0,635440000000
images/img_635570000000.jpg,0.58,-0.0,635570000000
images/img_635680000000.jpg,0.57,-0.0,635680000000
images/img_635790000000.jpg,0.55,-0.0,635790000000
images/img_635890000000.jpg,0.71,-0.0,635890000000
images/img_635996000000.jpg,0.75,-0.0,635996000000
images/img_636098000000.jpg,0.67,-0.0,636098000000
images/img_636230000000.jpg,0.47,-0.0,636230000000
images/img_636332000000.jpg,0.38,-0.0,636332000000
images/img_636432000000.jpg,0.29,-0.0,636432000000
images/img_636534000000.jpg,0.26,-0.0,636534000000
images/img_636636000000.jpg,0.35,-0.0,636636000000
images/img_636738000000.jpg,0.32,-0.0,636738000000
images/img_636846000000.jpg,0.17,-0.0,636846000000
images/img_636946000000.jpg,0.0,-0.0,636946000000
images/img_637050000000.jpg,0.0,-0.02,637050000000
images/img_637184000000.jpg,0.0,-0.07,637184000000
images/img_637288000000.jpg,0.0,-0.08,637288000000
images/img_637392000000.jpg,0.0,-0.09,637392000000
